variant_name,score_name,stage_id,meta_year,meta_race,stage_nr,rows,ndcg_at_5,ndcg_at_10,ndcg_at_20,top_1_accuracy,top_5_accuracy,top_10_accuracy,top_20_accuracy,map,map_at_10,spearman_rho
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST13,2024,vuelta-a-espana,13,146,0.2281171825068285,0.32849262980193356,0.33748399466095785,0.0,0.0,1.0,1.0,0.38014399391206233,0.03666666666666667,0.5318943826940319
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST14,2024,vuelta-a-espana,14,145,0.1695801026368081,0.23287416988813117,0.2439055029982248,0.0,0.0,1.0,1.0,0.1821132395673661,0.05833333333333333,0.3056487167375216
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST15,2024,vuelta-a-espana,15,143,0.7570807634605983,0.7430420636531992,0.7214134562514043,0.0,0.0,0.0,0.0,0.6594932673269002,0.5607142857142857,0.38670836206047476
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST16,2024,vuelta-a-espana,16,139,0.2846438833857645,0.344411060961863,0.407736101438164,0.0,0.0,0.0,1.0,0.5904674155829142,0.014285714285714285,0.40275704901916964
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST17,2024,vuelta-a-espana,17,137,0.0,0.0851316473800667,0.10706739143839492,0.0,0.0,1.0,1.0,0.14607335755537956,0.014285714285714285,0.08748389866895664
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST18,2024,vuelta-a-espana,18,135,0.21826955258437689,0.19001029980636333,0.19103564774046794,0.0,0.0,0.0,0.0,0.21625151130964126,0.03333333333333333,0.3122475856014048
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST19,2024,vuelta-a-espana,19,135,0.6971432225619741,0.811893376058814,0.7403969866907334,1.0,1.0,1.0,1.0,0.6119484458757035,0.4730952380952381,0.39386889083991816
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST2,2024,vuelta-a-espana,2,171,0.6018359199557124,0.4423107813714197,0.4327464581467076,1.0,1.0,1.0,1.0,0.2877558750061038,0.2,0.23096455228358176
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST20,2024,vuelta-a-espana,20,131,0.6110124136178919,0.6321085382515956,0.6639079179104393,0.0,0.0,0.0,1.0,0.6592973195958272,0.3463095238095238,0.43494902044520367
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST3,2024,vuelta-a-espana,3,171,0.6096731708870796,0.4480706578897771,0.4599480488305579,0.0,1.0,1.0,1.0,0.33405701175709923,0.2,0.3514099887200902
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST4,2024,vuelta-a-espana,4,171,0.6534081967245269,0.5794708581335626,0.6620244605545944,1.0,1.0,1.0,1.0,0.5763014182122823,0.22999999999999998,0.49494084047327624
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST5,2024,vuelta-a-espana,5,170,0.6505253699032812,0.5668829577079255,0.5127491493083932,0.0,0.0,0.0,0.0,0.34474071098822834,0.3416666666666667,0.1812775935662337
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST6,2024,vuelta-a-espana,6,167,0.04373502583744727,0.16525278905841148,0.17197802280401958,0.0,0.0,1.0,1.0,0.22196081866981182,0.0365079365079365,0.42240304245210103
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST7,2024,vuelta-a-espana,7,165,0.3600546145772339,0.3709457887812413,0.4402656100447177,0.0,1.0,1.0,1.0,0.33720835477638633,0.1375,0.21416130152539206
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST8,2024,vuelta-a-espana,8,163,0.6018359199557124,0.5450414804188032,0.5884198914831776,1.0,1.0,1.0,1.0,0.45780683814142653,0.23333333333333334,0.391233145460289
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST9,2024,vuelta-a-espana,9,159,0.4670156610640614,0.5586832400061899,0.5897769083753504,0.0,1.0,1.0,1.0,0.5662543883696644,0.31666666666666665,0.49259314545020305
standard,score_topk_raw_sum,vuelta-a-espana_2025_ST1,2025,vuelta-a-espana,1,168,0.4104889601851253,0.30168304466969204,0.4112742546756076,1.0,1.0,1.0,1.0,0.3110410787319159,0.1,0.34095798259778
